> GMT_XY
263.722 -65.6163
263.687 -65.5954
263.661 -65.5852
263.59 -65.5211
263.555 -65.5001
263.505 -65.5243
263.488 -65.5138
263.455 -65.5707
263.421 -65.5497
263.394 -65.5284
263.342 -65.5192
263.31 -65.5539
263.291 -65.5211
263.214 -65.524
263.188 -65.5139
263.077 -65.4958
263.036 -65.553
263.004 -65.6099
262.972 -65.6779
262.906 -65.7249
262.872 -65.7262
262.839 -65.7608
262.77 -65.7411
262.751 -65.6973
262.732 -65.6423
262.688 -65.6105
262.662 -65.6004
262.646 -65.6344
262.585 -65.6033
262.55 -65.5712
262.515 -65.5724
262.471 -65.5296
262.456 -65.5747
262.422 -65.5871
262.379 -65.5775
262.325 -65.5127
262.271 -65.4368
262.224 -65.3272
262.275 -65.303
262.273 -65.2586
262.305 -65.1906
262.313 -65.1903
262.346 -65.1556
262.381 -65.1655
262.447 -65.1184
262.48 -65.0727
262.521 -65.0377
262.563 -65.0028
262.576 -64.9132
262.566 -64.8579
262.573 -64.8242
262.554 -64.7692
262.52 -64.7816
262.477 -64.7832
262.459 -64.7394
262.458 -64.7172
262.5 -64.6933
262.524 -64.6479
262.497 -64.6155
262.455 -64.6282
262.423 -64.7073
262.312 -64.7114
262.294 -64.6676
262.3 -64.6117
262.325 -64.5996
262.307 -64.578
262.323 -64.544
262.288 -64.5119
262.313 -64.4998
262.285 -64.4452
262.208 -64.4258
262.215 -64.381
262.257 -64.3794
262.256 -64.3572
262.23 -64.347
262.212 -64.3143
262.176 -64.26
262.123 -64.2285
262.073 -64.2416
262.071 -64.1971
262.165 -64.1936
262.189 -64.1593
262.145 -64.1164
262.162 -64.1046
262.168 -64.0376
262.15 -64.0271
262.14 -63.9941
262.183 -64.0036
262.19 -63.9588
262.18 -63.9146
262.137 -63.894
262.078 -63.9184
262.118 -63.8612
262.065 -63.7964
262.005 -63.7987
261.972 -63.8333
261.974 -63.8778
261.897 -63.8806
261.969 -63.7555
261.933 -63.7011
261.906 -63.6687
261.872 -63.67
261.846 -63.6487
261.734 -63.6306
261.733 -63.5973
261.707 -63.5871
261.703 -63.4981
261.745 -63.4632
261.751 -63.4072
261.733 -63.3856
261.691 -63.3872
261.641 -63.4225
261.622 -63.3898
261.638 -63.3558
261.619 -63.3119
261.55 -63.2922
261.566 -63.2582
261.573 -63.2023
261.605 -63.1677
261.587 -63.1238
261.526 -63.0927
261.541 -63.0476
261.66 -63.0209
261.676 -63.0092
261.711 -63.0301
261.754 -63.0285
261.778 -62.9831
261.767 -62.9278
261.749 -62.884
261.705 -62.8633
261.686 -62.7972
261.676 -62.7642
261.649 -62.7318
261.614 -62.7108
261.604 -62.6778
261.595 -62.6559
261.57 -62.6679
261.512 -62.7258
261.503 -62.7038
261.499 -62.5926
261.448 -62.6057
261.43 -62.5952
261.428 -62.5285
261.384 -62.5078
261.349 -62.4646
261.297 -62.4554
261.295 -62.3998
261.26 -62.3677
261.258 -62.3232
261.284 -62.3223
261.334 -62.3092
261.402 -62.2844
261.418 -62.2727
261.392 -62.2403
261.398 -62.1844
261.431 -62.1609
261.412 -62.1059
261.384 -62.0401
261.374 -61.9849
261.33 -61.9531
261.304 -61.9429
261.269 -61.9442
261.226 -61.9124
261.182 -61.8806
261.146 -61.8263
261.125 -61.738
261.089 -61.6948
261.053 -61.6293
261.028 -61.6525
261.03 -61.7081
261.005 -61.7202
260.999 -61.5645
260.937 -61.5111
260.896 -61.5461
260.845 -61.5591
260.82 -61.5712
260.779 -61.6061
260.735 -61.5743
260.801 -61.5273
260.85 -61.4698
260.891 -61.4126
260.905 -61.323
260.851 -61.2471
260.83 -61.1476
260.799 -60.9929
260.773 -60.9939
260.784 -61.0492
260.767 -61.0609
260.766 -61.0276
260.748 -61.0171
260.723 -61.0403
260.722 -60.9958
260.704 -60.9853
260.712 -60.9627
260.65 -60.8982
260.614 -60.855
260.586 -60.8004
260.56 -60.7791
260.535 -60.7912
260.502 -60.8258
260.442 -60.8169
260.373 -60.7972
260.33 -60.7876
260.295 -60.7778
260.251 -60.7349
260.199 -60.7034
260.138 -60.6722
260.075 -60.6078
260.028 -60.487
260.025 -60.4092
259.981 -60.3774
259.97 -60.311
260.018 -60.209
259.982 -60.1547
259.972 -60.1105
259.946 -60.1226
259.961 -60.0663
259.943 -60.0225
259.917 -60.0123
259.891 -60.0022
259.881 -59.9691
259.849 -60.0148
259.83 -59.9821
259.846 -59.9481
259.786 -59.9281
259.74 -59.8518
259.695 -59.7756
259.666 -59.6987
259.629 -59.611
259.608 -59.5227
259.58 -59.4458
259.575 -59.3235
259.547 -59.2577
259.527 -59.1805
259.516 -59.1141
259.488 -59.0483
259.48 -58.8148
259.502 -58.736
259.522 -58.5794
259.533 -58.4008
259.602 -58.1978
259.672 -58.006
259.79 -57.7455
259.839 -57.688
259.886 -57.5749
259.951 -57.4834
259.99 -57.3818
260.004 -57.3033
259.997 -57.1032
259.976 -57.0148
259.947 -56.9046
259.882 -56.7734
259.835 -56.6526
259.806 -56.5646
259.759 -56.455
259.739 -56.3667
259.685 -56.2907
259.675 -56.2355
259.663 -56.1579
259.627 -56.1036
259.599 -56.0489
259.58 -55.9829
259.535 -55.9177
259.49 -55.8748
259.436 -55.7989
259.383 -55.7341
259.321 -55.6807
259.3 -55.5812
259.273 -55.5377
259.271 -55.4821
259.235 -55.4277
259.227 -55.2165
259.167 -55.2076
259.157 -55.1523
259.088 -55.1326
259.044 -55.1008
259.068 -55.0776
259.049 -55.0226
258.947 -55.0264
258.878 -54.9956
258.901 -54.939
258.816 -54.9422
258.815 -54.9088
258.781 -54.9101
258.797 -54.8983
258.762 -54.8773
258.778 -54.8433
258.752 -54.8332
258.719 -54.8678
258.676 -54.8582
258.667 -54.8363
258.683 -54.8023
258.656 -54.781
258.631 -54.782
258.604 -54.7384
258.611 -54.6936
258.559 -54.6955
258.476 -54.5204
258.45 -54.4992
258.436 -54.3438
258.452 -54.332
258.442 -54.299
258.417 -54.2999
258.409 -54.3114
258.374 -54.3015
258.347 -54.2469
258.345 -54.2024
258.343 -54.1579
258.369 -54.1458
258.412 -54.1554
258.411 -54.1332
258.374 -54.0566
258.348 -54.0464
258.355 -54.0016
258.336 -53.9466
258.29 -53.8704
258.229 -53.8281
258.219 -53.7839
258.176 -53.7744
258.182 -53.7073
258.225 -53.7169
258.241 -53.7052
258.24 -53.6718
258.204 -53.6286
258.177 -53.585
258.118 -53.5872
258.09 -53.5437
258.098 -53.51
258.08 -53.4884
258.029 -53.4903
258.003 -53.4912
257.985 -53.4696
258.001 -53.4356
257.974 -53.3921
257.964 -53.3591
257.913 -53.3609
257.868 -53.2958
257.901 -53.2612
257.908 -53.2275
257.906 -53.1719
257.923 -53.1602
257.949 -53.1815
257.991 -53.1577
258.014 -53.1011
258.012 -53.0344
258.001 -52.9791
257.973 -52.9022
257.961 -52.8025
257.925 -52.7481
257.876 -52.5829
257.85 -52.5616
257.826 -52.3843
257.815 -52.329
257.788 -52.2744
257.785 -52.1966
257.74 -52.1203
257.68 -52.1225
257.569 -52.1265
257.501 -52.1179
257.451 -52.1532
257.409 -52.1881
257.375 -52.1893
257.357 -52.1566
257.323 -52.169
257.265 -52.2045
257.179 -52.1743
257.125 -52.1206
257.046 -52.0567
256.984 -51.9921
256.957 -51.9375
256.876 -51.818
256.821 -51.7198
256.792 -51.6429
256.809 -51.62
256.833 -51.5968
256.848 -51.5184
256.846 -51.4739
